2T	Yobs	Ycalc	Yobs-Ycalc
10.102348	90.0	67.7164	-87.53548
10.122349	68.0	66.017395	-107.83647500000001
10.142348	64.0	64.72808	-110.54716000000002
10.162349	66.0	63.706913	-107.52599300000001
10.182348	62.0	62.873623	-110.69270300000002
10.202349	56.0	62.178604	-115.99768400000002
10.222348	62.0	61.58861	-109.40769000000002
10.242349	62.0	61.080124	-108.89920400000001
10.262348	66.0	60.635963	-104.45504300000002
10.282349	76.0	60.24331	-94.06239000000002
10.302348	74.0	59.892406	-95.71148600000001
10.322349	56.0	59.57575	-113.39483000000001
10.342348	68.0	59.287453	-101.10653300000001
10.362349	70.0	59.02288	-98.84196000000001
10.382348	62.0	58.778305	-106.59738500000002
10.4023485	58.0	58.550728	-110.369808
10.422349	66.0	58.337704	-102.15678400000002
10.4423485	64.0	58.137215	-103.95629500000001
10.462349	76.0	57.9476	-91.76668000000001
10.482348	64.0	57.767475	-103.586555
10.502349	58.0	57.59567	-109.41475000000001
10.522348	74.0	57.431206	-93.25028600000002
10.542349	58.0	57.27326	-109.09234000000001
10.562348	46.0	57.121124	-120.94020400000002
10.582349	66.0	56.974213	-100.793293
10.602348	58.0	56.83202	-108.65110000000001
10.622349	50.0	56.694138	-116.51321800000002
10.642348	48.0	56.56023	-118.37931
10.662349	54.0	56.430042	-112.24912200000001
10.682348	60.0	56.30342	-106.12250000000002
10.702349	58.0	56.18034	-107.99942000000001
10.722348	74.0	56.061077	-91.88015700000001
10.742349	52.0	55.94163	-113.76071000000002
10.762348	56.0	55.824818	-109.64389800000001
10.782349	64.0	55.70897	-101.52805000000001
10.802348	60.0	55.595036	-105.414116
10.822349	42.0	55.48291	-123.30199000000002
10.842348	54.0	55.37247	-111.19155
10.862349	70.0	55.263626	-95.08270600000002
10.882348	72.0	55.156296	-92.97537600000001
10.9023485	70.0	55.0504	-94.86948000000001
10.922349	52.0	54.945885	-112.76496500000002
10.9423485	60.0	54.842697	-104.66177700000001
10.962349	46.0	54.7408	-118.55988000000002
10.982348	64.0	54.640163	-100.45924300000001
11.002349	76.0	54.54077	-88.35985000000002
11.022348	56.0	54.442616	-108.26169600000001
11.042349	68.0	54.345707	-96.16478700000002
11.062348	70.0	54.250057	-94.06913700000001
11.082349	54.0	54.155716	-109.97479600000001
11.102348	48.0	54.062748	-115.88182800000001
11.122349	68.0	53.971264	-95.790344
11.142348	58.0	53.8814	-105.70048000000001
11.162349	50.0	53.79336	-113.61244000000002
11.182348	66.0	53.707436	-97.52651600000002
11.202349	64.0	53.62402	-99.44310000000002
11.222348	72.0	53.543686	-91.36276600000002
11.242349	60.0	53.46732	-103.28640000000001
11.262348	58.0	53.396343	-105.21542300000002
11.282349	54.0	53.33385	-109.15293000000001
11.302348	62.0	53.259	-101.07808000000001
11.322349	62.0	53.188465	-101.00754500000002
11.342348	64.0	53.114143	-98.93322300000001
11.362349	62.0	53.04231	-100.86139000000001
11.382348	54.0	52.973312	-108.792392
11.4023485	54.0	52.907574	-108.72665400000001
11.422349	52.0	52.845592	-110.66467200000002
11.4423485	58.0	52.78789	-104.60697000000002
11.462349	50.0	52.73492	-112.55400000000002
11.482348	56.0	52.686867	-106.50594700000002
11.502349	62.0	52.643394	-100.46247400000001
11.522348	58.0	52.602478	-104.421558
11.542349	56.0	52.590595	-106.40967500000002
11.562348	54.0	52.59014	-108.40922
11.582349	44.0	52.613667	-118.432747
11.602348	46.0	52.65785	-116.47693000000001
11.622349	68.0	52.727367	-94.54644700000001
11.642348	58.0	52.827957	-104.64703700000001
11.662349	68.0	52.96643	-94.78551000000002
11.682348	66.0	53.14959	-96.96867000000002
11.702349	50.0	53.417088	-113.23616800000002
11.722348	64.0	53.77565	-99.59473000000001
11.742349	50.0	54.237236	-114.05631600000001
11.762348	50.0	54.824688	-114.64376800000002
11.782349	60.0	55.562096	-105.38117600000001
11.802348	60.0	56.467022	-106.28610200000001
11.822349	64.0	57.546566	-103.36564600000001
11.842348	56.0	58.7805	-112.59958000000002
11.862349	74.0	60.10676	-95.92584000000002
11.882348	48.0	61.40594	-123.22502000000001
11.9023485	58.0	62.492683	-114.31176300000001
11.922349	50.0	63.131737	-122.95081700000001
11.9423485	66.0	63.11461	-106.93369000000001
11.962349	70.0	62.40498	-102.22406000000001
11.982348	62.0	61.22481	-109.04389
12.002349	68.0	59.939594	-101.75867400000001
12.022348	50.0	58.865185	-118.68426500000001
12.042349	56.0	58.17178	-111.99086000000001
12.062348	50.0	57.89467	-117.71375
12.082349	60.0	57.978985	-107.79806500000001
12.102348	58.0	58.309784	-110.12886400000002
12.122349	56.0	58.724483	-112.543563
12.142348	82.0	59.02132	-86.84040000000002
12.162349	64.0	58.9859	-104.80498000000001
12.182348	60.0	58.46466	-108.28374000000002
12.202349	54.0	57.467274	-113.28635400000002
12.222348	60.0	56.181187	-106.00026700000001
12.242349	56.0	54.85308	-108.67216000000002
12.262348	76.0	53.667187	-87.48626700000001
12.282349	46.0	52.707672	-116.52675200000002
12.302348	60.0	51.984375	-101.80345500000001
12.322349	52.0	51.47056	-109.28964000000002
12.342348	62.0	51.128242	-98.94732200000001
12.362349	58.0	50.921635	-102.74071500000002
12.382348	56.0	50.82335	-104.64243000000002
12.4023485	68.0	50.816372	-92.63545200000002
12.422349	54.0	50.89356	-106.71264000000002
12.4423485	64.0	51.056274	-96.87535400000002
12.462349	64.0	51.313103	-97.13218300000001
12.482348	56.0	51.6791	-105.49818000000002
12.502349	62.0	52.175297	-99.99437700000001
12.522348	68.0	52.827553	-94.64663300000001
12.542349	56.0	53.66289	-107.48197000000002
